Quan_huyen,Loai_hinh,Dien_tich,Tong_so_tang,Tang_phong,Thang_may,Noi_that,Ban_cong_Cua_so,Khu_bep,Ve_sinh,May_giat,Vi_tri_ngo,Cho_nuoi_pet,Gia_dien,Khoang_cach_TT,Gia_phong
Đống Đa,1N1K (1 Khách 1 Ngủ),57,7,5,Có,Đồ cũ/Thiếu đồ,Cửa sổ giếng trời (Nhìn tường),Bếp tách biệt (Ngăn mùi),Vệ sinh chung (Chung tầng),Máy giặt riêng trong phòng,Xe máy tránh nhau,Cho nuôi Pet,3800,2357,13555352
Tây Hồ,Chung cư mini,17,6,6,Có,Nhà trống,Cửa sổ kính lớn (Big Window),Nấu ăn chung khu (Tầng 1),Khép kín (Cơ bản),Máy giặt riêng trong phòng,Mặt phố/Oto đỗ cửa,Cho nuôi Pet,3800,10075,8689938
Cầu Giấy,Trọ thường,19,4,3,Không,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Không cửa sổ (Phòng hộp),Kệ bếp trong phòng,Vệ sinh chung (Chung tầng),Không có máy giặt,Ngõ ngách sâu/Hẻm nhỏ,Cho nuôi Pet,4000,8514,2193500
Gia Lâm,Căn hộ dịch vụ (Studio),27,8,7,Có,"Full đồ Luxury (Smart TV, Sofa...)",Cửa sổ kính lớn (Big Window),Kệ bếp trong phòng,Vệ sinh chung (Chung tầng),Máy giặt riêng trong phòng,Xe máy tránh nhau,Cấm nuôi Pet,4000,4570,6955356
Cầu Giấy,Homestay (Sleepbox),9,9,4,Không,"Full đồ Luxury (Smart TV, Sofa...)",Ban công rộng thoáng,Nấu ăn chung khu (Tầng 1),Vệ sinh chung (Chung tầng),Không có máy giặt,Xe máy tránh nhau,Cho nuôi Pet,4000,2019,1478518
Gia Lâm,Trọ thường,31,3,1,Không,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Không cửa sổ (Phòng hộp),Bếp tách biệt (Ngăn mùi),Khép kín (Cơ bản),Máy giặt riêng trong phòng,Ba gác tránh/Ngõ nông,Cho nuôi Pet,4000,10159,5224365
Hoàn Kiếm,Chung cư mini,24,8,2,Có,Đồ cũ/Thiếu đồ,Ban công rộng thoáng,Kệ bếp trong phòng,Khép kín (Có vách kính tắm),Máy giặt riêng trong phòng,Ba gác tránh/Ngõ nông,Cấm nuôi Pet,3500,7808,13959775
Long Biên,Trọ thường,30,6,2,Có,Đồ cũ/Thiếu đồ,Cửa sổ giếng trời (Nhìn tường),Kệ bếp trong phòng,Vệ sinh chung (Chung tầng),Máy giặt riêng trong phòng,Xe máy tránh nhau,Cho nuôi Pet,3500,4456,3489617
Đống Đa,Homestay (Sleepbox),5,3,3,Không,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Cửa sổ giếng trời (Nhìn tường),Bếp tách biệt (Ngăn mùi),Khép kín (Có vách kính tắm),Máy giặt riêng trong phòng,Ba gác tránh/Ngõ nông,Cấm nuôi Pet,3800,2506,2570460
Ba Đình,Chung cư mini,29,4,2,Không,Đồ cũ/Thiếu đồ,Không cửa sổ (Phòng hộp),Nấu ăn chung khu (Tầng 1),Vệ sinh chung (Chung tầng),Máy giặt chung (Sân thượng),Ngõ ngách sâu/Hẻm nhỏ,Cấm nuôi Pet,4000,2882,3856676
Gia Lâm,1N1K (1 Khách 1 Ngủ),50,8,2,Có,Đồ cũ/Thiếu đồ,Ban công rộng thoáng,Nấu ăn chung khu (Tầng 1),Khép kín (Cơ bản),Máy giặt chung (Sân thượng),Mặt phố/Oto đỗ cửa,Cho nuôi Pet,3800,4970,9461388
Hà Đông,Chung cư mini,31,8,2,Có,Nhà trống,Cửa sổ giếng trời (Nhìn tường),Bếp tách biệt (Ngăn mùi),Khép kín (Có vách kính tắm),Máy giặt riêng trong phòng,Xe máy tránh nhau,Cho nuôi Pet,3500,5392,6625799
Hai Bà Trưng,Chung cư mini,15,9,1,Có,Nhà trống,Ban công rộng thoáng,Kệ bếp trong phòng,Khép kín (Có vách kính tắm),Không có máy giặt,Ngõ ngách sâu/Hẻm nhỏ,Cấm nuôi Pet,Giá dân,9044,5362021
Ba Đình,Căn hộ dịch vụ (Studio),38,6,2,Có,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Ban công rộng thoáng,Kệ bếp trong phòng,Khép kín (Có vách kính tắm),Máy giặt riêng trong phòng,Mặt phố/Oto đỗ cửa,Cấm nuôi Pet,3500,9334,21980149
Long Biên,Homestay (Sleepbox),6,6,1,Có,Nhà trống,Cửa sổ kính lớn (Big Window),Nấu ăn chung khu (Tầng 1),Vệ sinh chung (Chung tầng),Không có máy giặt,Ngõ ngách sâu/Hẻm nhỏ,Cấm nuôi Pet,Giá dân,6047,1000000
Hà Đông,Căn hộ dịch vụ (Studio),28,6,4,Có,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Cửa sổ giếng trời (Nhìn tường),Bếp tách biệt (Ngăn mùi),Khép kín (Có vách kính tắm),Máy giặt chung (Sân thượng),Ngõ ngách sâu/Hẻm nhỏ,Cấm nuôi Pet,3800,2092,6955358
Thanh Xuân,Homestay (Sleepbox),8,8,8,Có,"Full đồ Luxury (Smart TV, Sofa...)",Cửa sổ kính lớn (Big Window),Bếp tách biệt (Ngăn mùi),Vệ sinh chung (Chung tầng),Máy giặt riêng trong phòng,Ba gác tránh/Ngõ nông,Cấm nuôi Pet,4000,10304,2090573
Cầu Giấy,Chung cư mini,31,7,4,Không,Đồ cũ/Thiếu đồ,Ban công rộng thoáng,Nấu ăn chung khu (Tầng 1),Khép kín (Cơ bản),Máy giặt riêng trong phòng,Ngõ ngách sâu/Hẻm nhỏ,Cho nuôi Pet,3500,8400,6847179
Nam Từ Liêm,Trọ thường,31,8,7,Có,"Full đồ Luxury (Smart TV, Sofa...)",Không cửa sổ (Phòng hộp),Nấu ăn chung khu (Tầng 1),Khép kín (Có vách kính tắm),Máy giặt chung (Sân thượng),Ba gác tránh/Ngõ nông,Cấm nuôi Pet,4000,2732,6394055
Long Biên,Trọ thường,26,7,7,Có,"Full đồ Luxury (Smart TV, Sofa...)",Không cửa sổ (Phòng hộp),Kệ bếp trong phòng,Vệ sinh chung (Chung tầng),Máy giặt riêng trong phòng,Xe máy tránh nhau,Cho nuôi Pet,4000,5060,4128493
Gia Lâm,Trọ thường,15,9,9,Có,Đồ cũ/Thiếu đồ,Ban công rộng thoáng,Kệ bếp trong phòng,Khép kín (Cơ bản),Máy giặt riêng trong phòng,Ngõ ngách sâu/Hẻm nhỏ,Cấm nuôi Pet,4000,8806,2487529
Gia Lâm,Chung cư mini,29,6,5,Không,"Full đồ Luxury (Smart TV, Sofa...)",Cửa sổ giếng trời (Nhìn tường),Bếp tách biệt (Ngăn mùi),Vệ sinh chung (Chung tầng),Máy giặt riêng trong phòng,Ngõ ngách sâu/Hẻm nhỏ,Cấm nuôi Pet,3800,10974,4115704
Cầu Giấy,Trọ thường,18,9,5,Có,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Ban công rộng thoáng,Nấu ăn chung khu (Tầng 1),Vệ sinh chung (Chung tầng),Máy giặt chung (Sân thượng),Ba gác tránh/Ngõ nông,Cho nuôi Pet,Giá dân,8481,4429691
Nam Từ Liêm,Trọ thường,34,9,7,Có,Đồ cũ/Thiếu đồ,Cửa sổ giếng trời (Nhìn tường),Bếp tách biệt (Ngăn mùi),Vệ sinh chung (Chung tầng),Không có máy giặt,Ba gác tránh/Ngõ nông,Cho nuôi Pet,Giá dân,11996,4525492
Cầu Giấy,Căn hộ dịch vụ (Studio),29,7,6,Có,Đồ cũ/Thiếu đồ,Cửa sổ giếng trời (Nhìn tường),Kệ bếp trong phòng,Khép kín (Cơ bản),Máy giặt chung (Sân thượng),Ngõ ngách sâu/Hẻm nhỏ,Cho nuôi Pet,Giá dân,7753,6895626
Đống Đa,Trọ thường,24,7,2,Có,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Không cửa sổ (Phòng hộp),Bếp tách biệt (Ngăn mùi),Khép kín (Có vách kính tắm),Máy giặt chung (Sân thượng),Xe máy tránh nhau,Cho nuôi Pet,3500,3740,6434848
Hai Bà Trưng,Homestay (Sleepbox),5,8,6,Có,"Full đồ Luxury (Smart TV, Sofa...)",Không cửa sổ (Phòng hộp),Kệ bếp trong phòng,Vệ sinh chung (Chung tầng),Không có máy giặt,Ngõ ngách sâu/Hẻm nhỏ,Cấm nuôi Pet,4000,5077,1000000
Gia Lâm,1N1K (1 Khách 1 Ngủ),60,6,3,Có,"Full đồ Luxury (Smart TV, Sofa...)",Không cửa sổ (Phòng hộp),Bếp tách biệt (Ngăn mùi),Vệ sinh chung (Chung tầng),Không có máy giặt,Mặt phố/Oto đỗ cửa,Cho nuôi Pet,3500,7928,9919936
Thanh Xuân,Homestay (Sleepbox),6,8,4,Có,"Full đồ Luxury (Smart TV, Sofa...)",Cửa sổ kính lớn (Big Window),Nấu ăn chung khu (Tầng 1),Khép kín (Cơ bản),Không có máy giặt,Xe máy tránh nhau,Cho nuôi Pet,Giá dân,6648,1573910
Hoàng Mai,Căn hộ dịch vụ (Studio),29,4,4,Không,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Không cửa sổ (Phòng hộp),Nấu ăn chung khu (Tầng 1),Khép kín (Có vách kính tắm),Không có máy giặt,Ba gác tránh/Ngõ nông,Cho nuôi Pet,4000,3026,5006751
Đống Đa,1N1K (1 Khách 1 Ngủ),42,4,1,Không,"Full đồ Luxury (Smart TV, Sofa...)",Cửa sổ giếng trời (Nhìn tường),Kệ bếp trong phòng,Khép kín (Có vách kính tắm),Không có máy giặt,Ba gác tránh/Ngõ nông,Cho nuôi Pet,Giá dân,976,19931760
Hai Bà Trưng,Trọ thường,30,7,2,Có,Nhà trống,Ban công rộng thoáng,Nấu ăn chung khu (Tầng 1),Khép kín (Có vách kính tắm),Không có máy giặt,Ngõ ngách sâu/Hẻm nhỏ,Cấm nuôi Pet,Giá dân,8592,4660723
Hà Đông,Trọ thường,34,4,1,Không,Nhà trống,Cửa sổ giếng trời (Nhìn tường),Kệ bếp trong phòng,Khép kín (Cơ bản),Máy giặt chung (Sân thượng),Ngõ ngách sâu/Hẻm nhỏ,Cấm nuôi Pet,4000,8264,3308010
Hoàng Mai,Chung cư mini,31,4,1,Không,Đồ cũ/Thiếu đồ,Cửa sổ kính lớn (Big Window),Kệ bếp trong phòng,Khép kín (Có vách kính tắm),Máy giặt riêng trong phòng,Ngõ ngách sâu/Hẻm nhỏ,Cấm nuôi Pet,4000,11950,7099483
Thanh Xuân,1N1K (1 Khách 1 Ngủ),45,7,2,Có,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Cửa sổ giếng trời (Nhìn tường),Nấu ăn chung khu (Tầng 1),Khép kín (Cơ bản),Không có máy giặt,Mặt phố/Oto đỗ cửa,Cho nuôi Pet,4000,2328,12280910
Tây Hồ,Căn hộ dịch vụ (Studio),29,9,7,Có,Nhà trống,Ban công rộng thoáng,Nấu ăn chung khu (Tầng 1),Khép kín (Cơ bản),Không có máy giặt,Xe máy tránh nhau,Cho nuôi Pet,3800,3613,8551875
Ba Đình,Chung cư mini,24,9,6,Có,Đồ cũ/Thiếu đồ,Cửa sổ giếng trời (Nhìn tường),Bếp tách biệt (Ngăn mùi),Khép kín (Có vách kính tắm),Máy giặt riêng trong phòng,Ba gác tránh/Ngõ nông,Cho nuôi Pet,3500,2578,11559790
Nam Từ Liêm,Trọ thường,22,6,6,Có,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Không cửa sổ (Phòng hộp),Bếp tách biệt (Ngăn mùi),Khép kín (Có vách kính tắm),Không có máy giặt,Ba gác tránh/Ngõ nông,Cho nuôi Pet,Giá dân,2505,5292572
Gia Lâm,Chung cư mini,28,6,1,Không,"Full đồ Luxury (Smart TV, Sofa...)",Cửa sổ kính lớn (Big Window),Kệ bếp trong phòng,Vệ sinh chung (Chung tầng),Không có máy giặt,Ngõ ngách sâu/Hẻm nhỏ,Cấm nuôi Pet,3500,2596,4945761
Bắc Từ Liêm,Căn hộ dịch vụ (Studio),32,3,3,Không,Nhà trống,Ban công rộng thoáng,Bếp tách biệt (Ngăn mùi),Khép kín (Có vách kính tắm),Máy giặt riêng trong phòng,Ngõ ngách sâu/Hẻm nhỏ,Cấm nuôi Pet,3500,1030,9276896
Hai Bà Trưng,Chung cư mini,23,6,5,Có,Đồ cũ/Thiếu đồ,Cửa sổ kính lớn (Big Window),Bếp tách biệt (Ngăn mùi),Khép kín (Cơ bản),Không có máy giặt,Ngõ ngách sâu/Hẻm nhỏ,Cấm nuôi Pet,3800,11052,6235678
Hoàn Kiếm,Căn hộ dịch vụ (Studio),33,5,3,Không,Đồ cũ/Thiếu đồ,Cửa sổ kính lớn (Big Window),Nấu ăn chung khu (Tầng 1),Vệ sinh chung (Chung tầng),Không có máy giặt,Xe máy tránh nhau,Cấm nuôi Pet,4000,1762,7713659
Gia Lâm,Trọ thường,31,8,7,Có,Đồ cũ/Thiếu đồ,Không cửa sổ (Phòng hộp),Bếp tách biệt (Ngăn mùi),Khép kín (Có vách kính tắm),Không có máy giặt,Xe máy tránh nhau,Cấm nuôi Pet,3800,7648,3167459
Hai Bà Trưng,Chung cư mini,23,8,4,Có,Nhà trống,Cửa sổ kính lớn (Big Window),Nấu ăn chung khu (Tầng 1),Khép kín (Cơ bản),Không có máy giặt,Ngõ ngách sâu/Hẻm nhỏ,Cấm nuôi Pet,4000,9603,4605479
Đống Đa,Homestay (Sleepbox),5,7,2,Có,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Ban công rộng thoáng,Kệ bếp trong phòng,Vệ sinh chung (Chung tầng),Máy giặt riêng trong phòng,Ngõ ngách sâu/Hẻm nhỏ,Cho nuôi Pet,3800,11855,1255798
Hoàn Kiếm,Chung cư mini,21,4,1,Không,"Full đồ Luxury (Smart TV, Sofa...)",Cửa sổ giếng trời (Nhìn tường),Kệ bếp trong phòng,Khép kín (Cơ bản),Máy giặt riêng trong phòng,Ngõ ngách sâu/Hẻm nhỏ,Cho nuôi Pet,Giá dân,2148,12711909
Hoàn Kiếm,Homestay (Sleepbox),8,3,2,Không,"Full đồ Luxury (Smart TV, Sofa...)",Cửa sổ giếng trời (Nhìn tường),Kệ bếp trong phòng,Khép kín (Cơ bản),Máy giặt chung (Sân thượng),Ba gác tránh/Ngõ nông,Cấm nuôi Pet,3500,10210,2101814
Hoàn Kiếm,Căn hộ dịch vụ (Studio),39,6,4,Có,Đồ cũ/Thiếu đồ,Cửa sổ giếng trời (Nhìn tường),Kệ bếp trong phòng,Khép kín (Cơ bản),Máy giặt riêng trong phòng,Mặt phố/Oto đỗ cửa,Cho nuôi Pet,3800,4434,16229804
Hoàn Kiếm,Căn hộ dịch vụ (Studio),26,5,5,Không,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Ban công rộng thoáng,Bếp tách biệt (Ngăn mùi),Vệ sinh chung (Chung tầng),Không có máy giặt,Ba gác tránh/Ngõ nông,Cấm nuôi Pet,3500,11211,10424442
Thanh Xuân,Chung cư mini,34,5,1,Không,"Full đồ Luxury (Smart TV, Sofa...)",Ban công rộng thoáng,Nấu ăn chung khu (Tầng 1),Vệ sinh chung (Chung tầng),Không có máy giặt,Ngõ ngách sâu/Hẻm nhỏ,Cấm nuôi Pet,Giá dân,3432,8316330
Ba Đình,1N1K (1 Khách 1 Ngủ),56,3,2,Không,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Ban công rộng thoáng,Bếp tách biệt (Ngăn mùi),Khép kín (Có vách kính tắm),Máy giặt chung (Sân thượng),Xe máy tránh nhau,Cấm nuôi Pet,Giá dân,11183,22833690
Hoàng Mai,Chung cư mini,26,3,1,Không,Nhà trống,Cửa sổ kính lớn (Big Window),Nấu ăn chung khu (Tầng 1),Khép kín (Cơ bản),Máy giặt riêng trong phòng,Mặt phố/Oto đỗ cửa,Cấm nuôi Pet,Giá dân,10437,6940371
Hai Bà Trưng,Homestay (Sleepbox),8,7,4,Có,"Full đồ Luxury (Smart TV, Sofa...)",Cửa sổ kính lớn (Big Window),Bếp tách biệt (Ngăn mùi),Vệ sinh chung (Chung tầng),Không có máy giặt,Mặt phố/Oto đỗ cửa,Cấm nuôi Pet,Giá dân,8439,2166508
Bắc Từ Liêm,Chung cư mini,33,5,4,Không,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Không cửa sổ (Phòng hộp),Nấu ăn chung khu (Tầng 1),Vệ sinh chung (Chung tầng),Không có máy giặt,Mặt phố/Oto đỗ cửa,Cho nuôi Pet,3800,11415,3423734
Hoàn Kiếm,Căn hộ dịch vụ (Studio),29,9,6,Có,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Cửa sổ kính lớn (Big Window),Bếp tách biệt (Ngăn mùi),Khép kín (Có vách kính tắm),Máy giặt riêng trong phòng,Ba gác tránh/Ngõ nông,Cho nuôi Pet,4000,11135,22060565
Đống Đa,1N1K (1 Khách 1 Ngủ),37,6,1,Có,Nhà trống,Cửa sổ kính lớn (Big Window),Kệ bếp trong phòng,Khép kín (Có vách kính tắm),Máy giặt riêng trong phòng,Xe máy tránh nhau,Cấm nuôi Pet,3800,6779,12623005
Hà Đông,Căn hộ dịch vụ (Studio),34,9,4,Có,Nhà trống,Cửa sổ kính lớn (Big Window),Nấu ăn chung khu (Tầng 1),Vệ sinh chung (Chung tầng),Máy giặt chung (Sân thượng),Xe máy tránh nhau,Cấm nuôi Pet,3500,912,4466794
Hoàng Mai,Homestay (Sleepbox),9,4,4,Không,Nhà trống,Ban công rộng thoáng,Kệ bếp trong phòng,Khép kín (Có vách kính tắm),Máy giặt riêng trong phòng,Ngõ ngách sâu/Hẻm nhỏ,Cho nuôi Pet,Giá dân,2724,1106571
Hoàng Mai,Trọ thường,22,6,6,Có,Đồ cũ/Thiếu đồ,Ban công rộng thoáng,Nấu ăn chung khu (Tầng 1),Khép kín (Cơ bản),Máy giặt riêng trong phòng,Ba gác tránh/Ngõ nông,Cấm nuôi Pet,3500,9439,4960086
Bắc Từ Liêm,Căn hộ dịch vụ (Studio),36,5,5,Không,Đồ cũ/Thiếu đồ,Ban công rộng thoáng,Nấu ăn chung khu (Tầng 1),Vệ sinh chung (Chung tầng),Máy giặt riêng trong phòng,Ba gác tránh/Ngõ nông,Cho nuôi Pet,3800,8436,5779218
Nam Từ Liêm,Trọ thường,15,3,2,Không,"Full đồ Luxury (Smart TV, Sofa...)",Cửa sổ kính lớn (Big Window),Kệ bếp trong phòng,Khép kín (Có vách kính tắm),Máy giặt riêng trong phòng,Mặt phố/Oto đỗ cửa,Cấm nuôi Pet,4000,6073,8022328
Hai Bà Trưng,Căn hộ dịch vụ (Studio),27,4,2,Không,"Full đồ Luxury (Smart TV, Sofa...)",Cửa sổ kính lớn (Big Window),Kệ bếp trong phòng,Khép kín (Có vách kính tắm),Máy giặt chung (Sân thượng),Mặt phố/Oto đỗ cửa,Cho nuôi Pet,3800,3585,17684628
Hai Bà Trưng,Chung cư mini,21,8,6,Có,"Full đồ Luxury (Smart TV, Sofa...)",Ban công rộng thoáng,Nấu ăn chung khu (Tầng 1),Vệ sinh chung (Chung tầng),Máy giặt chung (Sân thượng),Ngõ ngách sâu/Hẻm nhỏ,Cho nuôi Pet,Giá dân,8947,7298648
Hà Đông,Căn hộ dịch vụ (Studio),38,6,4,Không,"Full đồ Luxury (Smart TV, Sofa...)",Không cửa sổ (Phòng hộp),Bếp tách biệt (Ngăn mùi),Khép kín (Cơ bản),Không có máy giặt,Ba gác tránh/Ngõ nông,Cho nuôi Pet,3500,2058,7684707
Nam Từ Liêm,Chung cư mini,30,9,8,Có,"Full đồ Luxury (Smart TV, Sofa...)",Cửa sổ giếng trời (Nhìn tường),Kệ bếp trong phòng,Khép kín (Cơ bản),Không có máy giặt,Mặt phố/Oto đỗ cửa,Cấm nuôi Pet,3800,6610,9686127
Hoàn Kiếm,Chung cư mini,34,8,1,Không,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Cửa sổ giếng trời (Nhìn tường),Nấu ăn chung khu (Tầng 1),Khép kín (Có vách kính tắm),Máy giặt riêng trong phòng,Xe máy tránh nhau,Cấm nuôi Pet,Giá dân,2618,13150177
Nam Từ Liêm,Trọ thường,23,4,2,Không,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Không cửa sổ (Phòng hộp),Bếp tách biệt (Ngăn mùi),Vệ sinh chung (Chung tầng),Máy giặt riêng trong phòng,Mặt phố/Oto đỗ cửa,Cho nuôi Pet,Giá dân,9567,4621772
Long Biên,Trọ thường,23,4,4,Không,Nhà trống,Ban công rộng thoáng,Nấu ăn chung khu (Tầng 1),Khép kín (Cơ bản),Không có máy giặt,Mặt phố/Oto đỗ cửa,Cấm nuôi Pet,Giá dân,5020,3333966
Nam Từ Liêm,1N1K (1 Khách 1 Ngủ),36,7,7,Có,"Full đồ Luxury (Smart TV, Sofa...)",Cửa sổ kính lớn (Big Window),Kệ bếp trong phòng,Khép kín (Cơ bản),Không có máy giặt,Ngõ ngách sâu/Hẻm nhỏ,Cấm nuôi Pet,3800,11818,10334234
Hai Bà Trưng,Chung cư mini,23,6,4,Không,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Cửa sổ kính lớn (Big Window),Nấu ăn chung khu (Tầng 1),Khép kín (Cơ bản),Không có máy giặt,Xe máy tránh nhau,Cho nuôi Pet,Giá dân,4179,6449567
Tây Hồ,1N1K (1 Khách 1 Ngủ),46,6,4,Có,"Full đồ Luxury (Smart TV, Sofa...)",Không cửa sổ (Phòng hộp),Bếp tách biệt (Ngăn mùi),Vệ sinh chung (Chung tầng),Không có máy giặt,Mặt phố/Oto đỗ cửa,Cấm nuôi Pet,3500,8512,13850796
Hai Bà Trưng,Homestay (Sleepbox),6,5,5,Không,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Không cửa sổ (Phòng hộp),Kệ bếp trong phòng,Vệ sinh chung (Chung tầng),Máy giặt chung (Sân thượng),Ngõ ngách sâu/Hẻm nhỏ,Cấm nuôi Pet,4000,6038,1000000
Ba Đình,1N1K (1 Khách 1 Ngủ),56,5,3,Không,Nhà trống,Không cửa sổ (Phòng hộp),Kệ bếp trong phòng,Khép kín (Có vách kính tắm),Không có máy giặt,Xe máy tránh nhau,Cho nuôi Pet,3500,1166,10246744
Long Biên,Chung cư mini,25,7,5,Có,"Full đồ Luxury (Smart TV, Sofa...)",Không cửa sổ (Phòng hộp),Kệ bếp trong phòng,Vệ sinh chung (Chung tầng),Máy giặt riêng trong phòng,Ngõ ngách sâu/Hẻm nhỏ,Cho nuôi Pet,Giá dân,11030,4405878
Hoàn Kiếm,Chung cư mini,32,4,2,Không,Đồ cũ/Thiếu đồ,Cửa sổ kính lớn (Big Window),Kệ bếp trong phòng,Khép kín (Có vách kính tắm),Máy giặt chung (Sân thượng),Ngõ ngách sâu/Hẻm nhỏ,Cho nuôi Pet,Giá dân,6281,10835266
Hà Đông,Homestay (Sleepbox),7,4,4,Không,Nhà trống,Ban công rộng thoáng,Kệ bếp trong phòng,Khép kín (Cơ bản),Không có máy giặt,Ba gác tránh/Ngõ nông,Cho nuôi Pet,3800,8723,1000000
Long Biên,Homestay (Sleepbox),6,4,3,Không,"Full đồ Luxury (Smart TV, Sofa...)",Không cửa sổ (Phòng hộp),Bếp tách biệt (Ngăn mùi),Khép kín (Có vách kính tắm),Không có máy giặt,Ngõ ngách sâu/Hẻm nhỏ,Cho nuôi Pet,Giá dân,2464,1245692
Gia Lâm,Chung cư mini,31,8,8,Không,"Full đồ Luxury (Smart TV, Sofa...)",Cửa sổ kính lớn (Big Window),Bếp tách biệt (Ngăn mùi),Khép kín (Cơ bản),Máy giặt chung (Sân thượng),Ngõ ngách sâu/Hẻm nhỏ,Cho nuôi Pet,4000,905,6768134
Gia Lâm,Căn hộ dịch vụ (Studio),26,6,6,Có,Nhà trống,Ban công rộng thoáng,Kệ bếp trong phòng,Vệ sinh chung (Chung tầng),Máy giặt riêng trong phòng,Ngõ ngách sâu/Hẻm nhỏ,Cấm nuôi Pet,4000,8028,4229508
Đống Đa,Căn hộ dịch vụ (Studio),43,7,4,Có,Đồ cũ/Thiếu đồ,Cửa sổ giếng trời (Nhìn tường),Kệ bếp trong phòng,Khép kín (Có vách kính tắm),Máy giặt chung (Sân thượng),Ba gác tránh/Ngõ nông,Cho nuôi Pet,Giá dân,3736,12964087
Bắc Từ Liêm,Chung cư mini,28,5,4,Không,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Không cửa sổ (Phòng hộp),Nấu ăn chung khu (Tầng 1),Khép kín (Cơ bản),Máy giặt riêng trong phòng,Ngõ ngách sâu/Hẻm nhỏ,Cấm nuôi Pet,3500,11789,3083853
Long Biên,Trọ thường,30,8,2,Có,Nhà trống,Cửa sổ giếng trời (Nhìn tường),Nấu ăn chung khu (Tầng 1),Khép kín (Có vách kính tắm),Không có máy giặt,Ba gác tránh/Ngõ nông,Cho nuôi Pet,4000,10855,3361674
Hoàng Mai,Căn hộ dịch vụ (Studio),31,7,4,Có,"Full đồ Luxury (Smart TV, Sofa...)",Không cửa sổ (Phòng hộp),Kệ bếp trong phòng,Khép kín (Cơ bản),Máy giặt chung (Sân thượng),Mặt phố/Oto đỗ cửa,Cấm nuôi Pet,3500,1673,8873577
Đống Đa,Trọ thường,27,6,4,Có,"Full đồ Luxury (Smart TV, Sofa...)",Cửa sổ giếng trời (Nhìn tường),Kệ bếp trong phòng,Khép kín (Có vách kính tắm),Không có máy giặt,Mặt phố/Oto đỗ cửa,Cấm nuôi Pet,4000,11225,9585622
Long Biên,Trọ thường,15,7,1,Không,"Full đồ Luxury (Smart TV, Sofa...)",Cửa sổ kính lớn (Big Window),Kệ bếp trong phòng,Khép kín (Cơ bản),Không có máy giặt,Ngõ ngách sâu/Hẻm nhỏ,Cho nuôi Pet,3800,6099,4056859
Tây Hồ,Trọ thường,26,3,3,Không,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Ban công rộng thoáng,Kệ bếp trong phòng,Khép kín (Cơ bản),Không có máy giặt,Ba gác tránh/Ngõ nông,Cấm nuôi Pet,Giá dân,6070,8254026
Ba Đình,Homestay (Sleepbox),5,4,1,Không,Nhà trống,Cửa sổ kính lớn (Big Window),Nấu ăn chung khu (Tầng 1),Khép kín (Cơ bản),Máy giặt chung (Sân thượng),Xe máy tránh nhau,Cấm nuôi Pet,4000,5460,1278729
Thanh Xuân,Trọ thường,33,7,1,Có,Đồ cũ/Thiếu đồ,Cửa sổ giếng trời (Nhìn tường),Nấu ăn chung khu (Tầng 1),Khép kín (Cơ bản),Máy giặt riêng trong phòng,Mặt phố/Oto đỗ cửa,Cấm nuôi Pet,4000,602,7206012
Nam Từ Liêm,Căn hộ dịch vụ (Studio),28,9,4,Không,Đồ cũ/Thiếu đồ,Không cửa sổ (Phòng hộp),Nấu ăn chung khu (Tầng 1),Khép kín (Cơ bản),Không có máy giặt,Ngõ ngách sâu/Hẻm nhỏ,Cấm nuôi Pet,3800,8988,3010825
Ba Đình,1N1K (1 Khách 1 Ngủ),52,4,3,Không,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Không cửa sổ (Phòng hộp),Bếp tách biệt (Ngăn mùi),Khép kín (Có vách kính tắm),Máy giặt chung (Sân thượng),Mặt phố/Oto đỗ cửa,Cho nuôi Pet,3800,7787,20042183
Gia Lâm,1N1K (1 Khách 1 Ngủ),38,4,4,Không,Nhà trống,Cửa sổ kính lớn (Big Window),Nấu ăn chung khu (Tầng 1),Khép kín (Cơ bản),Máy giặt riêng trong phòng,Ba gác tránh/Ngõ nông,Cho nuôi Pet,3800,4315,6005316
